[2025-11-02 17:01:29] Erreur dans monitor_loop: CHECK constraint failed: event_type IN ('info','warning','error','alert')
[2025-11-02 17:58:19] [ALERTE] 1 modifiés, 0 supprimés
[2025-11-02 17:58:29] [ALERTE] 1 modifiés, 0 supprimés
[2025-11-02 17:58:39] [ALERTE] 1 modifiés, 0 supprimés
[2025-11-02 17:58:49] [ALERTE] 1 modifiés, 0 supprimés
[2025-11-02 17:58:59] [ALERTE] 1 modifiés, 0 supprimés
[2025-11-02 17:59:10] [ALERTE] 1 modifiés, 0 supprimés
[2025-11-02 17:59:20] [ALERTE] 1 modifiés, 0 supprimés
[2025-11-02 17:59:30] [ALERTE] 1 modifiés, 0 supprimés
[2025-11-02 17:59:40] [ALERTE] 1 modifiés, 0 supprimés
[2025-11-02 17:59:50] [ALERTE] 1 modifiés, 0 supprimés
[2025-11-02 18:00:00] [ALERTE] 1 modifiés, 0 supprimés
[2025-11-02 18:00:10] [ALERTE] 1 modifiés, 0 supprimés
[2025-11-02 18:00:20] [ALERTE] 1 modifiés, 0 supprimés
[2025-11-02 18:00:30] [ALERTE] 1 modifiés, 0 supprimés
[2025-11-02 18:00:41] [ALERTE] 1 modifiés, 0 supprimés
[2025-11-02 18:00:51] [ALERTE] 1 modifiés, 0 supprimés
[2025-11-02 18:01:01] [ALERTE] 1 modifiés, 0 supprimés
[2025-11-02 18:01:11] [ALERTE] 1 modifiés, 0 supprimés
[2025-11-02 18:01:21] [ALERTE] 1 modifiés, 0 supprimés
[2025-11-02 18:01:31] [ALERTE] 1 modifiés, 0 supprimés
[2025-11-02 18:01:41] [ALERTE] 1 modifiés, 1 supprimés
[2025-11-02 18:01:51] [ALERTE] 1 modifiés, 1 supprimés
[2025-11-02 18:02:01] [ALERTE] 1 modifiés, 1 supprimés
[2025-11-02 18:02:11] [ALERTE] 1 modifiés, 1 supprimés
[2025-11-02 18:20:10] [ALERTE] 1 modifiés, 1 supprimés
[2025-11-02 19:07:30] [ALERTE] 1 modifiés, 1 supprimés
[2025-11-02 19:07:40] [ALERTE] 1 modifiés, 1 supprimés
[2025-11-02 19:07:50] [ALERTE] 1 modifiés, 1 supprimés
[2025-11-02 19:08:00] [ALERTE] 1 modifiés, 1 supprimés
[2025-11-02 19:08:10] [ALERTE] 1 modifiés, 1 supprimés
